docid,lang
test0364,fa
test0365,uk
test0366,mr
test0367,en
test0368,ar
test0369,es
test0370,uk
test0371,en
test0372,fa
test0373,en
test0374,fa
test0375,mr
test0376,mr
test0377,es
test0378,unk
test0379,fr
test0380,unk
test0381,es
test0382,en
test0383,uk
test0384,unk
test0385,ne
test0386,bg
test0387,ne
test0388,unk
test0389,en
test0390,es
test0391,fa
test0392,ja
test0393,de
test0394,hi
test0395,it
test0396,ru
test0397,en
test0398,unk
test0399,th
test0400,it
test0401,ne
test0402,fr
test0403,de
test0404,de
test0405,en
test0406,hi
test0407,fa
test0408,es
test0409,ru
test0410,it
test0411,en
test0412,ru
test0413,es
test0414,fa
test0415,ja
test0416,nl
test0417,hi
test0418,nl
test0419,unk
test0420,ru
test0421,nl
test0422,unk
test0423,es
test0424,zh
test0425,fr
test0426,he
test0427,fa
test0428,unk
test0429,es
test0430,en
test0431,hi
test0432,en
test0433,uk
test0434,ru
test0435,th
test0436,hi
test0437,ar
test0438,en
test0439,ur
test0440,de
test0441,unk
test0442,es
test0443,unk
test0444,fr
test0445,uk
test0446,it
test0447,ja
test0448,uk
test0449,en
test0450,en
test0451,unk
test0452,en
test0453,fa
test0454,es
test0455,de
test0456,fr
test0457,unk
test0458,fr
test0459,it
test0460,hi
test0461,fa
test0462,it
test0463,unk
test0464,ru
test0465,mr
test0466,it
test0467,en
test0468,uk
test0469,en
test0470,es
test0471,fa
test0472,en
test0473,nl
test0474,fa
test0475,bg
test0476,nl
test0477,ur
test0478,it
test0479,nl
test0480,unk
test0481,ar
test0482,ru
test0483,unk
test0484,hi
test0485,en
test0486,en
test0487,ur
test0488,en
test0489,th
test0490,th
test0491,nl
test0492,it
test0493,mr
test0494,en
test0495,en
test0496,en
test0497,uk
test0498,fr
test0499,en
test0500,nl
test0501,en
test0502,fa
test0503,it
test0504,it
test0505,fr
test0506,ne
test0507,ja
test0508,ja
test0509,en
test0510,unk
test0511,ru
test0512,unk
test0513,ur
test0514,fr
test0515,uk
test0516,nl
test0517,mr
test0518,es
test0519,ur
test0520,es
test0521,ne
test0522,th
test0523,unk
test0524,fa
test0525,de
test0526,nl
test0527,es
test0528,de
test0529,fa
test0530,ru
test0531,ur
test0532,de
test0533,ur
test0534,en
test0535,ja
test0536,it
test0537,de
test0538,ar
test0539,fa
test0540,es
test0541,unk
test0542,uk
test0543,unk
test0544,fr
test0545,es
test0546,mr
test0547,hi
test0548,en
test0549,fr
test0550,en
test0551,ru
test0552,it
test0553,mr
test0554,en
test0555,hi
test0556,hi
test0557,it
test0558,ja
test0559,zh
test0560,nl
test0561,de
test0562,ar
test0563,nl
test0564,fr
test0565,en
test0566,es
test0567,bg
test0568,nl
test0569,en
test0570,en
test0571,fa
test0572,en
test0573,th
test0574,fa
test0575,fa
test0576,ar
test0577,hi
test0578,es
test0579,nl
test0580,hi
test0581,en
test0582,mr
test0583,es
test0584,unk
test0585,es
test0586,fa
test0587,it
test0588,mr
test0589,en
test0590,ar
test0591,nl
test0592,ar
test0593,ar
test0594,uk
test0595,de
test0596,fr
test0597,ru
test0598,ru
test0599,unk
test0600,de
test0601,en
test0602,es
test0603,en
test0604,fr
test0605,fa
test0606,mr
test0607,ru
test0608,ur
test0609,ko
test0610,de
test0611,en
test0612,ru
test0613,th
test0614,es
test0615,he
test0616,ru
test0617,ur
test0618,hi
test0619,en
test0620,fr
test0621,it
test0622,en
test0623,fr
test0624,mr
test0625,bg
test0626,en
test0627,ja
test0628,de
test0629,fr
test0630,uk
test0631,es
test0632,de
test0633,uk
test0634,th
test0635,unk
test0636,en
test0637,en
test0638,fr
test0639,uk
test0640,en
test0641,hi
test0642,unk
test0643,en
test0644,ru
test0645,mr
test0646,en
test0647,mr
test0648,fr
test0649,uk
test0650,ru
test0651,th
test0652,mr
test0653,en
test0654,uk
test0655,en
test0656,uk
test0657,bg
test0658,nl
test0659,en
test0660,nl
test0661,ru
test0662,en
test0663,ne
test0664,uk
test0665,fa
test0666,it
test0667,fr
test0668,it
test0669,en
test0670,ja
test0671,en
test0672,fa
test0673,en
test0674,en
test0675,en
test0676,en
test0677,ru
test0678,hi
test0679,ur
test0680,en
test0681,ar
test0682,de
test0683,bg
test0684,it
test0685,es
test0686,unk
test0687,fr
test0688,uk
test0689,zh
test0690,nl
test0691,he
test0692,nl
test0693,es
test0694,de
test0695,it
test0696,en
test0697,mr
test0698,th
test0699,ru
test0700,ru
test0701,nl
test0702,bg
test0703,de
test0704,es
test0705,ne
test0706,fr
test0707,ar
test0708,unk
test0709,nl
test0710,fr
test0711,en
test0712,ar
test0713,ur
test0714,it
test0715,bg
test0716,ja
test0717,ne
test0718,fa
test0719,ne
test0720,fa
test0721,bg
test0722,fa
test0723,de
test0724,th
test0725,en
test0726,nl
test0727,en
test0728,ru
test0729,he
test0730,ar
test0731,nl
test0732,fr
test0733,es
test0734,en
test0735,en
test0736,ru
test0737,ko
test0738,it
test0739,fa
test0740,nl
test0741,en
test0742,bg
test0743,it
test0744,ar
test0745,unk
test0746,en
test0747,de
test0748,he
test0749,he
test0750,nl
test0751,fa
test0752,es
test0753,en
test0754,fr
test0755,bg
test0756,de
test0757,unk
test0758,unk
test0759,unk
test0760,de
test0761,en
test0762,nl
test0763,bg
test0764,ru
test0765,fr
test0766,ar
test0767,fr
test0768,nl
test0769,en
test0770,en
test0771,mr
test0772,en
test0773,en
test0774,hi
test0775,ur
test0776,en
test0777,de
test0778,de
test0779,ko
test0780,uk
test0781,en
test0782,fr
test0783,mr
test0784,de
test0785,zh
test0786,th
test0787,it
test0788,it
test0789,ar
test0790,en
test0791,de
test0792,unk
test0793,nl
test0794,it
test0795,en
test0796,en
test0797,en
test0798,he
test0799,nl
test0800,fr
test0801,fa
test0802,mr
test0803,zh
test0804,mr
test0805,unk
test0806,it
test0807,bg
test0808,fa
test0809,it
test0810,ne
test0811,ja
test0812,en
test0813,bg
test0814,uk
test0815,es
test0816,mr
test0817,en
test0818,en
test0819,de
test0820,en
test0821,it
test0822,en
test0823,uk
test0824,ja
test0825,ru
test0826,fa
test0827,uk
test0828,th
test0829,he
test0830,ru
test0831,fa
test0832,hi
test0833,uk
test0834,unk
test0835,en
test0836,de
test0837,es
test0838,fr
test0839,ru
test0840,fa
test0841,fr
test0842,fr
test0843,th
test0844,ne
test0845,en
test0846,de
test0847,bg
test0848,ru
test0849,de
test0850,nl
test0851,nl
test0852,en
test0853,fa
test0854,de
test0855,unk
test0856,nl
test0857,fa
test0858,unk
test0859,en
test0860,de
test0861,unk
test0862,en
test0863,nl
test0864,he
test0865,fa
test0866,ja
test0867,mr
test0868,it
test0869,de
test0870,ja
test0871,de
test0872,ja
test0873,nl
test0874,bg
test0875,ar
test0876,unk
test0877,en
test0878,es
test0879,ja
test0880,fa
test0881,uk
test0882,fa
test0883,ar
test0884,hi
test0885,unk
test0886,de
test0887,bg
test0888,de
test0889,bg
test0890,ur
test0891,en
test0892,he
test0893,en
test0894,en
test0895,es
test0896,en
test0897,nl
test0898,ja
test0899,en
test0900,nl
test0901,ar
test0902,en
test0903,de
test0904,ru
test0905,he
test0906,ne
test0907,en
test0908,en
test0909,de
test0910,fr
test0911,unk
test0912,de
test0913,es
test0914,unk
test0915,es
test0916,ru
test0917,es
test0918,it
test0919,zh
test0920,uk
test0921,it
test0922,unk
test0923,ru
test0924,ar
test0925,nl
test0926,hi
test0927,ur
test0928,en
test0929,de
test0930,mr
test0931,de
test0932,unk
test0933,en
test0934,en
test0935,es
test0936,en
test0937,mr
test0938,en
test0939,uk
test0940,fa
test0941,en
test0942,en
test0943,bg
test0944,it
test0945,es
test0946,es
test0947,unk
test0948,fr
test0949,uk
test0950,en
test0951,uk
test0952,fa
test0953,es
test0954,mr
test0955,en
test0956,ur
test0957,nl
test0958,en
test0959,fa
test0960,en
test0961,hi
test0962,en
test0963,en
test0964,fr
test0965,en
test0966,de
test0967,nl
test0968,unk
test0969,uk
test0970,en
test0971,fr
test0972,ar
test0973,fr
test0974,en
test0975,nl
test0976,en
test0977,en
test0978,fa
test0979,en
test0980,mr
test0981,mr
test0982,zh
test0983,unk
test0984,de
test0985,ur
test0986,de
test0987,es
test0988,en
test0989,en
test0990,fa
test0991,bg
test0992,it
test0993,ar
test0994,fr
test0995,ru
test0996,en
test0997,de
test0998,ru
test0999,en
test1000,ru
test1001,de
test1002,uk
test1003,ur
test1004,nl
test1005,nl
test1006,mr
test1007,en
test1008,ur
test1009,en
test1010,bg
test1011,es
test1012,de
test1013,es
test1014,it
test1015,it
test1016,en
test1017,en
test1018,ja
test1019,hi
test1020,en
test1021,ru
test1022,en
test1023,mr
test1024,es
test1025,en
test1026,es
test1027,en
test1028,nl
test1029,en
test1030,unk
test1031,unk
test1032,en
test1033,de
test1034,fr
test1035,nl
test1036,fa
test1037,en
test1038,de
test1039,ru
test1040,bg
test1041,ru
test1042,en
test1043,fa
test1044,ne
test1045,fr
test1046,fr
test1047,unk
test1048,en
test1049,en
test1050,ar
test1051,ru
test1052,bg
test1053,es
test1054,de
test1055,ru
test1056,ru
test1057,ja
test1058,en
test1059,uk
test1060,en
test1061,ur
test1062,en
test1063,en
test1064,bg
test1065,it
test1066,en
test1067,bg
test1068,ar
test1069,mr
test1070,fr
test1071,fr
test1072,es
test1073,en
test1074,ne
test1075,es
test1076,unk
test1077,fa
test1078,en
test1079,fr
test1080,ne
test1081,uk
test1082,unk
test1083,unk
test1084,ru
test1085,fr
test1086,en
test1087,it
test1088,fa
test1089,de
test1090,he
test1091,nl
test1092,uk
test1093,bg
test1094,en
test1095,es
test1096,ar
test1097,es
test1098,en
test1099,es
test1100,mr
test1101,fa
test1102,unk
test1103,ar
test1104,ur
test1105,mr
test1106,en
test1107,en
test1108,fa
test1109,mr
test1110,fa
test1111,ru
test1112,de
test1113,unk
test1114,en
test1115,unk
test1116,it
test1117,fr
test1118,fr
test1119,de
test1120,bg
test1121,it
test1122,nl
test1123,es
test1124,fa
test1125,ar
test1126,uk
test1127,fa
test1128,en
test1129,unk
test1130,en
test1131,fr
test1132,bg
test1133,de
test1134,es
test1135,ru
test1136,mr
test1137,zh
test1138,ja
test1139,ru
test1140,it
test1141,es
test1142,nl
test1143,fa
test1144,ru
test1145,en
test1146,it
test1147,fa
test1148,hi
test1149,nl
test1150,fa
test1151,nl
test1152,it
test1153,nl
test1154,ko
test1155,fr
test1156,it
test1157,fr
test1158,zh
test1159,en
test1160,fr
test1161,it
test1162,es
test1163,unk
test1164,en
test1165,hi
test1166,en
test1167,en
test1168,en
test1169,es
test1170,bg
test1171,he
test1172,en
test1173,en
test1174,en
test1175,hi
test1176,ar
test1177,bg
test1178,uk
test1179,de
test1180,unk
test1181,it
test1182,bg
test1183,en
test1184,th
test1185,en
test1186,mr
test1187,es
test1188,nl
test1189,uk
test1190,en
test1191,ne
test1192,ru
test1193,nl
test1194,es
test1195,nl
test1196,ar
test1197,ar
test1198,ne
test1199,en
test1200,es
test1201,en
test1202,en
test1203,unk
test1204,es
test1205,unk
test1206,ko
test1207,ru
test1208,en
test1209,en
test1210,fa
test1211,fr
test1212,bg
test1213,en
test1214,uk
test1215,ur
test1216,es
test1217,es
test1218,he
test1219,es
test1220,fa
test1221,ru
test1222,fr
test1223,ru
test1224,unk
test1225,ru
test1226,ne
test1227,fa
test1228,es
test1229,it
test1230,ru
test1231,fr
test1232,fr
test1233,fa
test1234,es
test1235,ja
test1236,unk
test1237,bg
test1238,it
test1239,hi
test1240,he
test1241,en
test1242,ur
test1243,en
test1244,uk
test1245,ar
test1246,unk
test1247,fa
test1248,de
test1249,en
test1250,en
test1251,ar
test1252,en
test1253,de
test1254,zh
test1255,it
test1256,it
test1257,mr
test1258,en
test1259,es
test1260,en
test1261,es
test1262,it
test1263,fr
test1264,nl
test1265,fa
test1266,fr
test1267,ar
test1268,fr
test1269,en
test1270,he
test1271,ar
test1272,nl
test1273,fa
test1274,ru
test1275,mr
test1276,ja
test1277,fa
test1278,ar
test1279,unk
test1280,it
test1281,unk
test1282,bg
test1283,it
test1284,mr
test1285,it
test1286,hi
test1287,uk
test1288,th
test1289,ar
test1290,en
test1291,en
test1292,en
test1293,fa
test1294,fr
test1295,mr
test1296,it
test1297,fa
test1298,it
test1299,en
test1300,unk
test1301,en
test1302,fr
test1303,en
test1304,unk
test1305,nl
test1306,uk
test1307,en
test1308,th
test1309,ar
test1310,en
test1311,unk
test1312,th
test1313,ru
test1314,nl
test1315,en
test1316,fr
test1317,it
test1318,uk
test1319,ja
test1320,nl
test1321,en
test1322,de
test1323,fr
test1324,fr
test1325,unk
test1326,bg
test1327,es
test1328,it
test1329,fr
test1330,unk
test1331,it
test1332,fa
test1333,fr
test1334,en
test1335,ne
test1336,nl
test1337,en
test1338,en
test1339,en
test1340,it
test1341,it
test1342,en
test1343,bg
test1344,unk
test1345,it
test1346,en
test1347,fa
test1348,ru
test1349,fa
test1350,ar
test1351,en
test1352,it
test1353,nl
test1354,bg
test1355,fa
test1356,ru
test1357,fa
test1358,en
test1359,unk
test1360,it
test1361,ru
test1362,en
test1363,de
test1364,fr
test1365,mr
test1366,en
test1367,en
test1368,ja
test1369,fr
test1370,nl
test1371,fa
test1372,fr
test1373,en
test1374,ja
test1375,de
test1376,en
test1377,ar
test1378,ru
test1379,unk
test1380,es
test1381,it
test1382,nl
test1383,es
test1384,nl
test1385,en
test1386,ru
test1387,ur
test1388,en
test1389,en
test1390,en
test1391,unk
test1392,en
test1393,bg
test1394,hi
test1395,uk
test1396,uk
test1397,fa
test1398,en
test1399,fr
test1400,nl
test1401,bg
test1402,unk
test1403,de
test1404,bg
test1405,en
test1406,es
test1407,uk
test1408,ja
test1409,ru
test1410,ru
test1411,it
test1412,unk
test1413,fr
test1414,it
test1415,unk
test1416,en
test1417,unk
test1418,fa
test1419,en
test1420,hi
test1421,en
test1422,th
test1423,hi
test1424,en
test1425,it
test1426,de
test1427,ja
test1428,uk
test1429,en
test1430,it
test1431,uk
test1432,bg
test1433,fa
test1434,mr
test1435,he
test1436,es
test1437,it
test1438,ru
test1439,fr
test1440,de
test1441,en
test1442,mr
test1443,ru
test1444,bg
test1445,ur
test1446,he
test1447,es
test1448,en
test1449,nl
test1450,ru
test1451,unk
test1452,unk
test1453,uk
test1454,ur
test1455,bg
test1456,de
test1457,de
test1458,bg
test1459,fa
test1460,de
test1461,he
test1462,en
test1463,ru
test1464,en
test1465,uk
test1466,fa
test1467,he
test1468,en
test1469,en
test1470,en
test1471,ru
test1472,en
test1473,th
test1474,fr
test1475,es
test1476,es
test1477,en
test1478,fa
test1479,ru
test1480,ur
test1481,unk
test1482,en
test1483,hi
test1484,it
test1485,ja
test1486,en
test1487,unk
test1488,en
test1489,fr
test1490,en
test1491,en
test1492,en
test1493,ru
test1494,nl
test1495,fr
test1496,ru
test1497,fr
test1498,hi
test1499,ja
test1500,he
test1501,de
test1502,bg
test1503,fa
test1504,de
test1505,it
test1506,en
test1507,de
test1508,ru
test1509,ne
test1510,nl
test1511,nl
test1512,ar
test1513,de
test1514,ru
test1515,en
test1516,uk
test1517,nl
test1518,uk
test1519,ru
test1520,de
test1521,nl
test1522,hi
test1523,ru
test1524,it
test1525,fa
test1526,nl
test1527,en
test1528,nl
test1529,hi
test1530,nl
test1531,es
test1532,en
test1533,ur
test1534,mr
test1535,unk
test1536,unk
test1537,de
test1538,ja
test1539,fa
test1540,fr
test1541,hi
test1542,ru
test1543,ru
test1544,en
test1545,nl
test1546,mr
test1547,fa
test1548,de
test1549,uk
test1550,en
test1551,fa
test1552,es
test1553,bg
test1554,es
test1555,it
test1556,en
test1557,ur
test1558,bg
test1559,en
test1560,en
test1561,ru
test1562,en
test1563,de
test1564,es
test1565,nl
test1566,en
test1567,en
test1568,en
test1569,ru
test1570,fa
test1571,mr
test1572,mr
test1573,mr
test1574,en
test1575,en
test1576,zh
test1577,en
test1578,de
test1579,fa
test1580,fr
test1581,en
test1582,de
test1583,ur
test1584,en
test1585,en
test1586,mr
test1587,ur
test1588,ko
test1589,bg
test1590,ar
test1591,hi
test1592,ur
test1593,en
test1594,mr
test1595,ru
test1596,en
test1597,en
test1598,nl
test1599,nl
test1600,nl
test1601,ru
test1602,fa
test1603,nl
test1604,he
test1605,it
test1606,ru
test1607,fr
test1608,ur
test1609,he
test1610,en
test1611,nl
test1612,ne
test1613,en
test1614,ur
test1615,nl
test1616,ru
test1617,fa
test1618,mr
test1619,de
test1620,ru
test1621,de
test1622,nl
test1623,ru
test1624,en
test1625,nl
test1626,fr
test1627,nl
test1628,de
test1629,unk
test1630,en
test1631,en
test1632,en
test1633,de
test1634,en
test1635,bg
test1636,de
test1637,bg
test1638,es
test1639,es
test1640,en
test1641,es
test1642,ne
test1643,nl
test1644,unk
test1645,en
test1646,unk
test1647,ru
test1648,en
test1649,uk
test1650,en
test1651,ru
test1652,hi
test1653,bg
test1654,unk
test1655,th
test1656,en
test1657,it
test1658,nl
test1659,en
test1660,fr
test1661,en
test1662,mr
test1663,bg
test1664,nl
test1665,uk
test1666,en
test1667,uk
test1668,en
test1669,bg
test1670,en
test1671,uk
test1672,unk
test1673,uk
test1674,mr
test1675,fr
test1676,nl
test1677,fr
test1678,fa
test1679,bg
test1680,it
test1681,ru
test1682,unk
test1683,unk
test1684,uk
test1685,fa
test1686,th
test1687,ur
test1688,mr
test1689,en
test1690,fa
test1691,fr
test1692,ru
test1693,fa
test1694,bg
test1695,en
test1696,nl
test1697,bg
test1698,fa
test1699,uk
test1700,uk
test1701,nl
test1702,unk
test1703,de
test1704,uk
test1705,en
test1706,unk
test1707,ar
test1708,nl
test1709,it
test1710,hi
test1711,en
test1712,en
test1713,en
test1714,ar
test1715,es
test1716,uk
test1717,mr
test1718,en
test1719,en
test1720,ru
test1721,ur
test1722,es
test1723,uk
test1724,unk
test1725,nl
test1726,it
test1727,ru
test1728,unk
test1729,nl
test1730,ar
test1731,unk
test1732,hi
test1733,it
test1734,fr
test1735,fa
test1736,mr
test1737,en
test1738,ne
test1739,fr
test1740,ur
test1741,mr
test1742,es
test1743,it
test1744,unk
test1745,en
test1746,de
test1747,he
test1748,nl
test1749,ja
test1750,it
test1751,en
test1752,en
test1753,unk
test1754,ja
test1755,ru
test1756,mr
test1757,nl
test1758,hi
test1759,nl
test1760,he
test1761,en
test1762,fa
test1763,bg
test1764,fa
test1765,mr
test1766,es
test1767,en
test1768,ko
test1769,nl
test1770,en
test1771,en
test1772,uk
test1773,hi
test1774,ja
test1775,fr
test1776,es
test1777,en
test1778,it
test1779,fa
test1780,he
test1781,mr
test1782,ru
test1783,bg
test1784,ru
test1785,ur
test1786,de
test1787,fr
test1788,en
test1789,nl
test1790,ar
test1791,mr
test1792,unk
test1793,en
test1794,mr
test1795,en
test1796,ur
test1797,es
test1798,uk
test1799,unk
test1800,nl
test1801,unk
test1802,bg
test1803,ne
test1804,ar
test1805,uk
test1806,de
test1807,zh
test1808,ru
test1809,en
test1810,nl
test1811,en
test1812,hi
test1813,nl
test1814,nl
test1815,de
test1816,es
test1817,unk
test1818,unk
test1819,uk
test1820,bg
test1821,en
test1822,ur
test1823,ko
test1824,ur
test1825,it
test1826,es
test1827,en
test1828,en
test1829,en
test1830,fr
test1831,ko
test1832,he
test1833,bg
test1834,de
test1835,de
test1836,it
test1837,it
test1838,he
test1839,ne
test1840,bg
test1841,nl
test1842,es
test1843,es
test1844,mr
test1845,en
test1846,en
test1847,fr
test1848,fr
test1849,en
test1850,hi
test1851,es
test1852,fa
test1853,it
test1854,ne
test1855,en
test1856,fr
test1857,bg
test1858,es
test1859,fr
test1860,fa
test1861,uk
test1862,nl
test1863,de
test1864,es
test1865,it
test1866,en
test1867,en
test1868,en
test1869,de
test1870,ur
test1871,fa
test1872,en
test1873,ru
test1874,bg
test1875,ja
test1876,fr
test1877,nl
test1878,ru
test1879,ur
test1880,en
test1881,ru
test1882,en
test1883,fa
test1884,en
test1885,nl
test1886,en
test1887,ar
test1888,fr
test1889,de
test1890,ru
test1891,ru
test1892,nl
test1893,ne
test1894,de
test1895,ar
test1896,en
test1897,en
test1898,ru
test1899,bg
test1900,ko
test1901,ur
test1902,fr
test1903,ne
test1904,ru
test1905,en
test1906,en
test1907,unk
test1908,en
test1909,en
test1910,en
test1911,bg
test1912,bg
test1913,nl
test1914,fr
test1915,mr
test1916,ar
test1917,ru
test1918,th
test1919,de
test1920,ru
test1921,bg
test1922,fa
test1923,en
test1924,ru
test1925,fr
test1926,mr
test1927,en
test1928,en
test1929,en
test1930,ru
test1931,ru
test1932,en
test1933,de
test1934,en
test1935,de
test1936,en
test1937,ne
test1938,mr
test1939,uk
test1940,nl
test1941,en
test1942,ja
test1943,uk
test1944,mr
test1945,en
test1946,en
test1947,mr
test1948,es
test1949,en
test1950,th
test1951,bg
test1952,ru
test1953,en
test1954,it
test1955,ru
test1956,unk
test1957,ru
test1958,mr
test1959,fr
test1960,es
test1961,ru
test1962,es
test1963,ru
test1964,fr
test1965,en
test1966,fa
test1967,ur
test1968,ur
test1969,ru
test1970,es
test1971,de
test1972,ur
test1973,ar
test1974,en
test1975,ur
test1976,it
test1977,fr
test1978,fa
test1979,he
test1980,es
test1981,en
test1982,en
test1983,ru
test1984,bg
test1985,es
test1986,he
test1987,mr
test1988,de
test1989,fa
test1990,mr
test1991,en
test1992,es
test1993,ar
test1994,unk
test1995,es
test1996,de
test1997,unk
test1998,unk
test1999,he
test2000,ru
test2001,es
test2002,th
test2003,en
test2004,ar
test2005,en
test2006,bg
test2007,de
test2008,ja
test2009,fr
test2010,ja
test2011,fa
test2012,en
test2013,fa
test2014,en
test2015,nl
test2016,nl
test2017,ar
test2018,en
test2019,fr
test2020,fr
test2021,en
test2022,en
test2023,nl
test2024,es
test2025,th
test2026,fa
test2027,en
test2028,ru
test2029,fa
test2030,fr
test2031,hi
test2032,fr
test2033,fr
test2034,unk
test2035,bg
test2036,bg
test2037,nl
test2038,nl
test2039,hi
test2040,mr
test2041,en
test2042,ru
test2043,ne
test2044,es
test2045,nl
test2046,fa
test2047,de
test2048,es
test2049,en
test2050,de
test2051,unk
test2052,nl
test2053,de
test2054,en
test2055,en
test2056,mr
test2057,nl
test2058,fr
test2059,en
test2060,es
test2061,ru
test2062,hi
test2063,fr
test2064,en
test2065,ru
test2066,nl
test2067,fa
test2068,fr
test2069,en
test2070,fa
test2071,it
test2072,en
test2073,ne
test2074,de
test2075,it
test2076,fa
test2077,it
test2078,unk
test2079,es
test2080,bg
test2081,ru
test2082,mr
test2083,fr
test2084,hi
test2085,unk
test2086,ur
test2087,en
test2088,uk
test2089,nl
test2090,hi
test2091,en
test2092,unk
test2093,it
test2094,bg
test2095,fa
test2096,it
test2097,bg
test2098,fr
test2099,ru
test2100,fa
test2101,fa
test2102,uk
test2103,mr
test2104,it
test2105,fa
test2106,es
test2107,es
test2108,en
test2109,fa
test2110,en
test2111,mr
test2112,en
test2113,bg
test2114,unk
test2115,th
test2116,es
test2117,en
test2118,fa
test2119,it
test2120,fr
test2121,ar
